Column1;Rank;Mark;Competitor;DOB;Nat;Pos;Unnamed: 6;Venue;Date;Results Score
89;3389;28:43.0;Andre GLOAGUEN;19/12/1947;FRA;4;;Paris (FRA);06/06/1974;1067
90;3389;28:43.0;Ricardo FERNÁNDEZ;07/05/1974;ESP;1;;Palafrugell (ESP);24/03/2000;1067
91;3392;28:43.01;Coolboy NGAMOLE;27/06/1979;RSA;10;;Algiers (ALG);19/07/2007;1067
92;3393;28:43.07;Yoshiyuki TATSUTA;03/04/1982;JPN;2;;Nobeoka (JPN);03/05/2006;1066
93;3393;28:43.07;Yusuke KAWANAMI;29/07/1984;JPN;5;;Yokohama (JPN);29/10/2011;1066
94;3393;28:43.07;Andrey LEYMAN;13/04/1987;RUS;4;;Zhukovskiy (RUS);30/06/2018;1066
95;3396;28:43.08;Mark HUDSPITH;19/01/1969;GBR;11;;Watford (GBR);22/07/2000;1066
96;3396;28:43.08;Kazuyuki ITO;31/10/1986;JPN;19;;Yokohama (JPN);02/12/2007;1066
97;3398;28:43.10;Linus MARWA;;KEN;h;;Nairobi (KEN);28/06/1997;1066
98;3398;28:43.10;Shin-ichiro OKUDA;04/01/1980;JPN;11;;Hachioji (JPN);27/11/2002;1066
99;3400;28:43.1;Hillary KIPCHUMBA;25/11/1992;KEN;6;;Nairobi (KEN);17/06/2010;1066
0;3401;28:43.11;Soma ISHIKAWA;05/12/1994;JPN;3f3;;Hachioji (JPN);26/11/2016;1066
1;3402;28:43.12;Michael MCDERMOTT;04/08/1964;RSA;4;;Stellenbosch (RSA);26/04/1988;1066
2;3403;28:43.15;Karim EL MABCHOUR;08/07/1982;MAR;3;;Izmir (TUR);16/08/2005;1066
3;3404;28:43.17;Masato TERAUCHI;18/10/1993;JPN;6;;Gifu (JPN);13/05/2017;1066
4;3405;28:43.18;Nate JEWKES;01/01/1990;USA;15f1;;Palo Alto, CA (USA);03/04/2015;1066
5;3405;28:43.18;Abel MUTAI;03/04/1996;KEN;5;;Kitale (KEN);03/08/2019;1066
6;3407;28:43.19;Yukiyoshi KINO;10/09/1980;JPN;5;;Nagasaki (JPN);01/12/2001;1066
7;3408;28:43.2;Jean-Yves LE FLOHIC;09/10/1940;FRA;5;;St-Maur (FRA);04/06/1975;1066
8;3408;28:43.2;Artur DE FREITAS CASTRO;12/11/1967;BRA;4;;Rio de Janeiro (BRA);27/06/1993;1066
9;3410;28:43.20;Nigel ADKIN;02/02/1972;AUS;5;;Melbourne (AUS);04/12/2000;1066
10;3409;28:43.2;Piotr DRWAL;09/11/1973;POL;3;;Bydgoszcz (POL);29/06/2001;1066
11;3412;28:43.21;Graziano CALVARESI;18/10/1966;ITA;4;;Milano (ITA);21/05/1992;1066
12;3412;28:43.21;Hirofumi SASAKI;;JPN;6f16;;Yokohama (JPN);27/09/2014;1066
13;3414;28:43.22;Alex KASICH;05/01/1955;USA;8;;Eugene, OR (USA);20/03/1982;1066
14;3414;28:43.22;Patrick KIMANYI;;KEN;8f4;;Machida (JPN);24/11/2018;1066
15;3416;28:43.23;Wataru KOBAYASHI;20/08/1975;JPN;7;;Yokohama (JPN);29/11/2003;1066
16;3416;28:43.23;Yohei YAMAMOTO;11/07/1987;JPN;6;;Yokohama (JPN);29/10/2011;1066
17;3418;28:43.26;Satoshi KIKUCHI;31/07/1994;JPN;1f2;;Kitami (JPN);14/07/2016;1066
18;3419;28:43.28;Oscar AMAYA;28/01/1967;ARG;2;;Mataró (ESP);14/05/1994;1066
19;3419;28:43.28;Mitsuru IRIFUNE;23/06/1979;JPN;10;;Yokohama (JPN);30/11/2002;1066
20;3421;28:43.30;Matt LLANO;01/08/1988;USA;20f2;;Palo Alto, CA (USA);01/05/2011;1066
21;3422;28:43.3;Abrha MILAW ASEFA;27/02/1988;ETH;3;;Addis Abeba (ETH);26/06/2013;1066
22;3423;28:43.33;Ivo BALABANOV;21/02/1997;BUL;7f1;;JSerra Catholic HS, San Juan Capistrano, CA (USA);05/12/2020;1066
23;3424;28:43.34;Eric TOLLEFSEN;09/05/1973;USA;4;;Palo Alto, CA (USA);25/03/2000;1066
24;3424;28:43.34;Elliott KRAUSE;12/06/1990;USA;7;;Walnut, CA (USA);14/04/2011;1066
25;3426;28:43.35;Ahmed EL ASERY;30/09/1973;FRA;12;;Lille (FRA);11/07/1998;1066
26;3426;28:43.35;Solomon HAILE;23/01/1990;USA;6f1;;Palo Alto, CA (USA);26/03/2010;1066
27;3428;28:43.36;Ryohei NAKANO;28/04/1986;JPN;9f3;;Kitakyushu (JPN);15/05/2010;1066
28;3428;28:43.36;Masahiro TAKAYA;26/10/1986;JPN;4f3;;Hachioji (JPN);26/11/2016;1066
29;3430;28:43.39;Greg BEARDSLEY;14/12/1961;USA;3;;Knoxville, TN (USA);11/04/1986;1066
30;3431;28:43.4;Mircea VICOL;01/01/1951;ROU;3;;Bucureşti (ROU);04/06/1977;1066
31;3432;28:43.40;Larry GREENE;29/02/1960;USA;4;;Knoxville, TN (USA);11/04/1986;1066
32;3433;28:43.41;Hiroyoshi UMEGAE;05/01/1984;JPN;16f2;;Fukuroi (JPN);16/10/2010;1066
33;3434;28:43.44;Kengo NAMIOKA;;JPN;9f16;;Tokyo (JPN);23/11/2013;1066
34;3435;28:43.45;Matt SMITH;26/12/1974;GBR;8;;Watford (GBR);09/06/2001;1066
35;3436;28:43.47;Ezio DOMEGHINI;15/09/1969;ITA;4;;Bologna (ITA);02/08/1993;1066
36;3437;28:43.48;Celedonio RODRIGUEZ;10/11/1980;USA;6;;Walnut, CA (USA);15/04/2005;1066
37;3438;28:43.49;Kerry O'BRIEN;17/04/1946;AUS;8;;Edinburgh (GBR);18/07/1970;1066
38;3438;28:43.49;Tomoya SHIMIZU;12/11/1980;JPN;18;;Yokohama (JPN);26/11/2006;1066
39;3440;28:43.5;Nikolay STEPANOV;03/08/1951;URS;6;;Podolsk (URS);13/08/1978;1066
40;3441;28:43.51;Taiga MACHIZAWA;17/04/1994;JPN;4f9;;Yokohama (JPN);25/04/2015;1066
41;3441;28:43.51;Daiki TAGUCHI;21/12/1991;JPN;2f2;;Kitami (JPN);07/07/2018;1066
42;3443;28:43.52;Minetoshi TORAZAWA;15/08/1979;JPN;17;;Yokohama (JPN);03/12/2000;1066
43;3444;28:43.54;Klaus HANSEN;09/03/1966;DEN;3;;Sint-Niklaas (BEL);29/04/1995;1066
44;3445;28:43.55;Yoshiro TANIGAWA;20/10/1979;JPN;35;;Kobe (JPN);24/04/2005;1066
45;3446;28:43.58;Samuel KARANJA;02/02/1979;KEN;1;;Hamilton (CAN);06/07/2003;1066
46;3447;28:43.6;Anatoliy BEZDELOV;14/01/1940;URS;5;;Moskva (URS);30/07/1967;1066
47;3447;28:43.6;Fernando CERRADA;21/08/1954;ESP;1;;San Sebastián (ESP);30/03/1975;1066
48;3447;28:43.6;Jerzy FINSTER;26/09/1955;POL;4;;Bydgoszcz (POL);29/07/1977;1066
49;3450;28:43.60;Vladimir OKOROKOV;01/01/1956;URS;11;;Donetsk (URS);06/09/1980;1066
50;3450;28:43.60;Takahiro KITAGAWA;20/11/1981;JPN;18;;Hachioji (JPN);24/11/2004;1066
51;3452;28:43.61;Hiroaki SANO;28/02/1988;JPN;13f1;;Fukagawa (JPN);25/06/2014;1066
52;3453;28:43.63;Paul SMITH;30/08/1965;NZL;1;;Wellington (NZL);07/03/1993;1066
53;3454;28:43.64;Michael GRAS;15/09/1991;FRA;6;;Stade Complexe Sportif Jean-Paul Chasseboeuf, Pacé (FRA);24/04/2021;1066
54;3455;28:43.67;Andrzej JAROSIEWICZ;08/02/1948;POL;1;;Warszawa (POL);09/07/1978;1066
55;3455;28:43.67;Adrian LEEK;22/01/1958;GBR;7;;London (GBR);07/08/1981;1066
56;3457;28:43.68;Tim GANNON;27/08/1965;USA;6;;Philadelphia, PA (USA);28/04/1994;1066
57;3458;28:43.69;Oddmund ROALKVAM;27/11/1958;NOR;23;;Oslo (NOR);05/07/1986;1066
58;3459;28:43.7;Massimo MAGNANI;04/10/1951;ITA;3;;Roma (ITA);26/07/1977;1065
59;3460;28:43.70;Tomix Alves DA COSTA;09/12/1962;BRA;22;;Walnut, CA (USA);21/04/1996;1065
60;3460;28:43.70;Teren JAMESON;26/04/1977;USA;30;;Palo Alto, CA (USA);30/04/2004;1065
61;3461;28:43.7;Kinde ATANAW;15/04/1993;ETH;4;;Addis Abeba (ETH);26/06/2013;1065
62;3463;28:43.73;Jesús Antonio NUNEZ;04/09/1980;ESP;4;;Vigo (ESP);12/07/2008;1065
63;3464;28:43.74;Sam PARSONS;18/06/1994;USA;11f1;;Palo Alto, CA (USA);31/03/2017;1065
64;3465;28:43.75;Truls NYGARD;14/01/1964;NOR;8;;Aachen (GER);05/06/1987;1065
65;3466;28:43.77;Takuya FUKAZAWA;;JPN;3;;Yokohama (JPN);29/04/2007;1065
66;3467;28:43.78;Santtu MÄKINEN;29/11/1970;FIN;14;;Stockholm (SWE);05/07/1993;1065
67;3468;28:43.8;Ichio SATO;22/08/1951;JPN;1;;Victoria (CAN);07/07/1973;1065
68;3469;28:43.80;Paul BALLINGER;25/03/1953;NZL;2;;Auckland (NZL);14/02/1976;1065
69;3469;28:43.80;Juan Antonio CRESPO;21/10/1966;ESP;3;;Barcelona (ESP);07/04/1990;1065
70;3470;28:43.8;Shadrack KOSGEI;24/11/1984;KEN;5;;Nairobi (KEN);21/05/2010;1065
71;3472;28:43.81;Gilbert BESSIERES;29/05/1954;FRA;3;;Helsinki (FIN);10/07/1979;1065
72;3472;28:43.81;Mohamed AFAADAS;01/01/1974;MAR;8;;Catania (ITA);30/08/1997;1065
73;3472;28:43.81;Tao CHENG;03/01/1984;CHN;1f1;;Hangzhou (CHN);13/04/2008;1065
74;3475;28:43.83;Jeff POWERS;01/01/1984;USA;14;;Palo Alto, CA (USA);30/03/2007;1065
75;3476;28:43.84;Hirofumi KATAFUCHI;05/05/1971;JPN;6;;Nagasaki (JPN);01/12/2001;1065
76;3476;28:43.84;Yusuke KUMAKURA;30/05/1996;JPN;3f8;;NITTAIDAI Athletic Stadium, Yokohama (JPN);14/11/2020;1065
77;3478;28:43.86;Kazuma GANAHA;01/10/1993;JPN;1f2;;Machida (JPN);24/11/2018;1065
78;3479;28:43.87;Jonathan PIERCE;03/09/1983;USA;33f2;;Palo Alto, CA (USA);04/05/2008;1065
79;3480;28:43.89;Wilson Boit KIPKETER;06/10/1973;KEN;1;;Nairobi (KEN);16/03/1997;1065
80;3481;28:43.9;Ian CHERRY;09/06/1964;USA;2;;Philadelphia, PA (USA);24/04/1986;1065
81;3482;28:43.90;Moumin Bouh GUELLEH;18/01/1991;DJI;3;;Cairo (EGY);05/04/2019;1065
82;3483;28:43.92;Bartalome SERRANO;05/03/1969;ESP;18;;Leiria (POR);07/04/1996;1065
83;3483;28:43.92;Wesley KIMUTAI;28/12/1995;KEN;24f6;;Hosei University Stadium, Machida (JPN);23/11/2019;1065
84;3485;28:43.93;Mbongeni Amos NGXAZAZO;02/02/1980;RSA;4;;Port Elizabeth (RSA);13/04/2012;1065
85;3486;28:43.94;Hideyuki FUJINO;11/05/1971;JPN;12;;Kobe (JPN);20/04/1997;1065
86;3487;28:43.98;Viktor DOLGOPOLOV;01/01/1960;URS;5;;Tallinn (EST);28/06/1985;1065
87;3488;28:44.0;Dieter BRAND;13/08/1944;FRG;5;;Eschweiler (FRG);02/06/1972;1065
88;3488;28:44.0;Katsushi ISOBATA;15/06/1944;JPN;2;;Victoria (CAN);07/07/1973;1065
89;3488;28:44.0;Gary BENTLEY;04/03/1950;AUS;2;;Melbourne (AUS);18/12/1980;1065
90;3491;28:44.00;Peter CHUMBA;20/12/1968;KEN;1;;Olympic Stadium, Athina (GRE);16/07/1986;1065
91;3489;28:44.0;Shangyan CAI;19/07/1962;CHN;;;Qinhuangdao (CHN);05/10/1986;1065
92;3489;28:44.0;Sammy LELEI;14/08/1964;KEN;3;;Nairobi (KEN);12/06/1992;1065
93;3489;28:44.0;Yasushi WATANABE;25/07/1972;JPN;8f1;;Hachioji (JPN);27/11/1994;1065
94;3489;28:44.0;Benjamin PAREDES;30/04/1962;MEX;14;;Montréal (CAN);10/07/1995;1065
95;3496;28:44.01;Pablo MARTÍN;06/03/1960;ESP;5;;Barcelona (ESP);09/04/1988;1065
96;3497;28:44.03;Takumi OWADA;05/10/1981;JPN;15f1;;Fukagawa (JPN);11/06/2008;1065
97;3498;28:44.05;Matt GABRIELSON;28/06/1978;USA;18;;Berkeley, CA (USA);24/04/2009;1065
98;3498;28:44.05;Jesse CHERRY;28/06/1986;USA;7f1;;Palo Alto, CA (USA);26/03/2010;1065
99;3498;28:44.05;Shotaro ISHIHARA;04/01/2002;JPN;1f6;;Shonan BMW Stadium, Hiratsuka (JPN);24/01/2021;1065
0;3501;28:44.06;Graham ELLIS;05/07/1955;GBR;10;;London (GBR);23/06/1978;1065
1;3501;28:44.06;Tulosa ABEBE;;QAT;1;;Doha (QAT);30/04/2013;1065
2;3503;28:44.07;John STEPHEN;01/01/1942;TAN;9;;Edinburgh (GBR);18/07/1970;1065
3;3504;28:44.09;Christopher SWEENEY;03/03/1966;GBR;4;;Birmingham (GBR);14/06/1996;1065
4;3505;28:44.10;Tonny LUTTIKHOLD;10/03/1954;NED;2;;Roosendaal (NED);05/09/1980;1065
5;3506;28:44.1;Manuel C. MOREIRA;13/02/1963;POR;8;;Maia (POR);14/07/1988;1065
6;3507;28:44.12;Nikolay NIKOLAYENKO;09/01/1954;URS;1;;Donetsk (URS);07/09/1984;1065
7;3508;28:44.13;Samuel Kiplimo KOSGEI;20/01/1986;KEN;1;;Kisumu (KEN);24/06/2006;1065
8;3509;28:44.15;Masatoshi OIKE;05/03/1979;JPN;5;;Amagasaki (JPN);16/05/2003;1065
9;3510;28:44.16;Mitchel BROWN;30/10/1988;AUS;4;;Melbourne (AUS);08/12/2012;1065
10;3511;28:44.17;Jimmy GRESSIER;04/05/1997;FRA;1;;Gävle (SWE);11/07/2019;1065
11;3512;28:44.19;Arkadiusz GARDZIELEWSKI;12/06/1986;POL;1f2;;Marseille (FRA);05/06/2010;1065
12;3513;28:44.2;Jean LEVAILLANT;15/12/1941;FRA;5;;Paris (FRA);14/06/1973;1065
13;3514;28:44.22;Zachary HERRIOTT;;USA;2f1;;Raleigh, NC (USA);24/03/2017;1065
14;3515;28:44.23;Taisuke KODAMA;26/07/1958;JPN;3;;Pori (FIN);03/07/1983;1065
15;3515;28:44.23;Satoshi KONDO;04/12/1996;JPN;2f4;;Hosei University Stadium, Machida (JPN);23/11/2019;1065
16;3517;28:44.25;Ezekiel BITOK;15/02/1966;KEN;15;;Stockholm (SWE);05/07/1993;1065
17;3517;28:44.25;Mohamed Reda EL AARABY;12/11/1989;MAR;1;;Five Rings Sports Center, Wuhan (CHN);23/10/2019;1065
18;3519;28:44.27;Gordon MINTY;23/03/1948;GBR;8;;Christchurch (NZL);25/01/1974;1065
19;3519;28:44.27;Hidenori NAGAI;04/03/1993;JPN;5f2;;Kumagaya (JPN);21/05/2016;1065
20;3521;28:44.29;Ray FLYNN;22/01/1957;IRL;1;;Dublin (IRL);06/08/1986;1065
21;3521;28:44.29;Kosuke MURASASHI;30/08/1982;JPN;7;;Yokohama (JPN);29/10/2011;1065
22;3523;28:44.3;Terry BAKER;24/11/1955;USA;4;;Knoxville, TN (USA);14/04/1978;1065
23;3523;28:44.3;Michael SPÖTTEL;30/01/1956;FRG;2;;Bonn (GER);24/04/1982;1065
24;3523;28:44.3;Jörg TEBRÜGGE;27/12/1963;FRG;1;;Kassel (GER);01/09/1989;1065
25;3526;28:44.31;Kazuyuki MAEDA;10/02/1980;JPN;12;;Fukagawa (JPN);25/06/2003;1065
26;3527;28:44.34;John BOLGER;27/06/1956;CAN;3;;Ottawa (CAN);02/08/1985;1065
27;3527;28:44.34;Koji KIMURA;02/01/1978;JPN;9;;Yokohama (JPN);29/11/2003;1065
28;3529;28:44.35;Haji AMAN;;ETH;1;;Kumagaya (JPN);05/06/2009;1065
29;3530;28:44.37;Olof SALMI;13/07/1952;FIN;3;;Lahti (FIN);21/08/1984;1064
30;3531;28:44.39;Takehiro ARAKAWA;21/05/1985;JPN;7f2;;Nobeoka (JPN);03/05/2011;1064
31;3532;28:44.4;Gavin THORLEY;11/06/1947;NZL;1;;Wellington (NZL);08/03/1972;1064
32;3532;28:44.4;Mihail KOUSIS;10/10/1953;GRE;4;;Helsinki (FIN);27/06/1974;1064
33;3532;28:44.4;Vicente EGIDO;22/03/1947;ESP;2;;San Sebastián (ESP);30/03/1975;1064
34;3532;28:44.4;Kent RAYNER;13/10/1950;AUS;3;;Melbourne (AUS);21/03/1976;1064
35;3532;28:44.4;Yuriy LIPATOV;06/07/1954;URS;7;;Podolsk (URS);13/08/1978;1064
36;3537;28:44.47;Stetson STEELE;21/09/1976;USA;5;;Palo Alto, CA (USA);25/03/2000;1064
37;3537;28:44.47;Shingo SATO;07/12/1983;JPN;13;;Yokohama (JPN);20/10/2007;1064
38;3539;28:44.48;Jerry LAWSON;02/07/1966;USA;7;;Philadelphia, PA (USA);28/04/1994;1064
39;3540;28:44.49;Norio KAMIJYO;25/03/1984;JPN;7f2;;Kobe (JPN);24/04/2010;1064
40;3541;28:44.50;Barry BROWN;26/07/1944;USA;3;;Knoxville, TN (USA);13/04/1979;1064
41;3542;28:44.52;Pertti TIAINEN;15/11/1954;FIN;11;;Oslo (NOR);11/07/1981;1064
42;3542;28:44.52;Mark TUCKER;15/08/1979;AUS;4;;Melbourne (AUS);04/12/2003;1064
43;3544;28:44.54;Miguel Ángel BARZOLA;14/05/1982;ARG;5;;Vigo (ESP);12/07/2008;1064
44;3545;28:44.56;Kazuki TOMARU;31/07/1987;JPN;8f2;;Tokyo (JPN);24/11/2012;1064
45;3546;28:44.57;Trent BRINEY;18/08/1978;USA;7;;Palo Alto, CA (USA);25/03/2005;1064
46;3546;28:44.57;Mikhail STRELKOV;25/07/1994;RUS;4;;Cheboksary (RUS);22/06/2016;1064
47;3548;28:44.59;Jacques KRÄHENBÜHL;31/10/1964;SUI;10;;Aachen (GER);05/06/1987;1064
48;3549;28:44.60;Sebastian BÜRKLEIN;24/10/1973;GER;6;;Troisdorf (GER);29/08/1998;1064
49;3550;28:44.6;David CHEPTERIT;;KEN;6;;Nairobi (KEN);24/05/2008;1064
50;3550;28:44.6;Joseph EBUYA;20/06/1987;KEN;2;;Nairobi (KEN);23/05/2009;1064
51;3552;28:44.64;Trent HARLOW;21/06/1973;AUS;8;;Melbourne (AUS);25/11/1996;1064
52;3553;28:44.66;Akihiro SHINODA;11/03/1966;JPN;6;;Hiratsuka (JPN);20/05/1994;1064
53;3553;28:44.66;Kazushi HARA;16/11/1980;JPN;39;;Kobe (JPN);24/04/2005;1064
54;3555;28:44.67;Jo FUKUDA;31/12/1990;JPN;2f5;;Saga (JPN);14/10/2017;1064
55;3556;28:44.68;Aidan REED;15/01/1998;USA;9;;Hayward Field, Eugene, OR (USA);02/04/2021;1064
56;3557;28:44.69;Jean-Pierre PAUMEN;16/12/1956;BEL;7;;Bruxelles (BEL);24/08/1984;1064
57;3558;28:44.7;Pat MANDERA;05/10/1952;USA;4;;Knoxville, TN (USA);09/04/1976;1064
58;3558;28:44.7;Albert MAYOROV;01/01/1947;URS;10;;Moskva (URS);11/06/1977;1064
59;3558;28:44.7;Bernard KITUR;10/01/1990;KEN;2;;Nairobi (KEN);14/06/2011;1064
60;3561;28:44.71;Olivér BODOR;01/06/1980;HUN;7;;Walnut, CA (USA);13/04/2007;1064
61;3561;28:44.71;Nicholas ROTICH;29/12/1996;KEN;7f1;;Leiden (NED);13/06/2015;1064
62;3563;28:44.72;Akinori TACHIBANA;23/03/1983;JPN;1f2;;Kushiro (JPN);16/07/2008;1064
63;3563;28:44.72;Jonathan NELSON;;USA;13f1;;Palo Alto, CA (USA);04/04/2014;1064
64;3565;28:44.73;Tomohiro TOYOOKA;15/10/1966;JPN;5;;Toyama (JPN);30/09/1995;1064
65;3566;28:44.74;Masaki SAKUDA;06/05/1996;JPN;12f1;;Yokohama (JPN);21/04/2018;1064
66;3567;28:44.75;Wilson WAIGWA;15/02/1949;KEN;5;;Bruxelles (BEL);05/09/1986;1064
67;3567;28:44.75;Kohei FUTAOKA;05/02/1994;JPN;10f4;;Athletics Stadium, Hadano (JPN);18/10/2020;1064
68;3569;28:44.76;Satoshi YOSHII;27/10/1983;JPN;10f3;;Kitakyushu (JPN);15/05/2010;1064
69;3570;28:44.78;Tom RATCLIFFE;04/06/1959;USA;3;;Dedham, MA (USA);10/05/1986;1064
70;3570;28:44.78;Thomas ERTL;06/03/1968;FRG;1;;Stadlau (AUT);01/09/1990;1064
71;3572;28:44.8;Ludwik HAPEL;04/01/1955;POL;3;;Villeneuve d'Ascq (FRA);11/06/1978;1064
72;3572;28:44.8;Claudio SOLONE;13/04/1953;ITA;2;;Bologna (ITA);09/06/1982;1064
73;3574;28:44.80;Janik LAMBERT;14/02/1972;CAN;24;;Walnut, CA (USA);21/04/1996;1064
74;3573;28:44.8;Hidenori HIRATA;28/06/1980;JPN;1f3;;Hachioji (JPN);26/10/2003;1064
75;3573;28:44.8;Tony MWANGANGI;;KEN;3;;Nairobi (KEN);16/05/2013;1064
76;3577;28:44.81;Junji KATAKAWA;05/12/1991;JPN;6f15;;Tokyo (JPN);24/11/2012;1064
77;3577;28:44.81;Solomon MUTAI;22/10/1992;UGA;4;;Kampala (UGA);19/07/2013;1064
78;3579;28:44.85;Ahmed EZZOBAYRY;06/06/1978;FRA;7;;Marseille (FRA);05/06/2002;1064
79;3579;28:44.85;Yoshihiro WAKAMATSU;09/12/1986;JPN;7f2;;Kumagaya (JPN);15/05/2010;1064
80;3581;28:44.86;Louis KENNY;08/11/1956;IRL;8;;Bruxelles (BEL);27/08/1982;1064
81;3582;28:44.89;Silvio SALAZAR;12/11/1958;COL;2;;Santiago de Chile (CHI);28/10/1984;1064
82;3582;28:44.89;Mike KIPRUTO;01/01/2001;KEN;2;;Doha (QAT);25/04/2016;1064
83;3584;28:44.90;Robert LUNNON;01/01/1951;GBR;10;;London (GBR);01/08/1975;1064
84;3585;28:44.9;Anthony KORIR;25/10/1980;KEN;1;;Noale (ITA);25/04/2001;1064
85;3585;28:44.9;Abraham KIPCHUMBA;01/01/1987;KEN;3f2;;Nairobi (KEN);16/07/2011;1064
86;3585;28:44.9;Bernard KORIR;01/01/1992;KEN;2;;Sotik (KEN);04/07/2015;1064
87;3588;28:44.91;Ron MARKEZICH;18/02/1967;USA;1;;Knoxville, TN (USA);13/04/1989;1064
88;3588;28:44.91;Shuhei YAMAGUCHI;08/03/1994;JPN;7f1;;Kitami (JPN);07/07/2018;1064
89;3590;28:44.92;Yngvar CHRISTIANSEN;26/08/1960;NOR;12;;Oslo (NOR);11/07/1981;1064
90;3590;28:44.92;Philip MOSIMA;02/01/1977;KEN;1f2;;Naka (JPN);02/10/2004;1064
91;3592;28:44.97;Italo QUAZZOLA;10/05/1994;ITA;2f2;;London (GBR);06/07/2019;1064
92;3593;28:45.00;Bernard ROSE;02/07/1953;RSA;5;;Stellenbosch (RSA);20/04/1981;1064
93;3594;28:45.0;Andre Luis RAMOS;20/01/1970;BRA;1;;Los Angeles, CA (USA);16/03/1996;1064
94;3595;28:45.01;Jamal SHAWKI;;BRN;3;;Aleppo (SYR);18/09/2010;1064
95;3596;28:45.03;Savo ALEMPIĆ;07/02/1955;YUG;4;;Beograd (SRB);22/07/1983;1064
96;3596;28:45.03;Kento TANAKA;28/02/1992;JPN;7f15;;Tokyo (JPN);24/11/2012;1064
97;3598;28:45.08;Frank KASE;22/06/1960;GER;6;;Potsdam (GDR);05/06/1987;1063
98;3599;28:45.09;Rafael SÁNCHEZ;03/01/1980;MEX;6;;Burnaby (CAN);05/06/2004;1063
99;3600;28:45.1;Ivan HUFF;31/07/1959;USA;15;;Eugene, OR (USA);07/04/1984;1063
0;3600;28:45.1;Satoshi IIJIMA;14/12/1974;JPN;9;;Yokohama (JPN);06/12/1998;1063
1;3602;28:45.10;Kodai MATSUMOTO;17/04/1987;JPN;3;;Tokyo (JPN);17/05/2009;1063
2;3602;28:45.10;Mehmet AKKOYUN;28/02/1989;TUR;2;;Mersin (TUR);03/05/2014;1063
3;3604;28:45.11;Shogo OTSU;22/11/1988;JPN;8;;Yokohama (JPN);18/04/2010;1063
4;3605;28:45.17;Tatsuo YUASA;29/02/1976;JPN;2f3;;Hachioji (JPN);28/11/2000;1063
5;3605;28:45.17;Shinjiro NAKAYAMA;01/02/1985;JPN;3;;Yokohama (JPN);14/12/2008;1063
6;3605;28:45.17;Joseph SWEENEY;17/10/1985;IRL;25f2;;Palo Alto, CA (USA);29/04/2012;1063
7;3608;28:45.2;Bernard MAROQUIN;22/07/1939;FRA;4;;Oslo (NOR);21/08/1965;1063
8;3608;28:45.2;Derek CLAYTON;17/11/1942;AUS;4;;Oslo (NOR);08/07/1969;1063
9;3610;28:45.20;Yoshiyuki INAI;18/07/1983;JPN;5;;Yokohama (JPN);24/10/2004;1063
10;3611;28:45.22;Rene GODLIEB;01/12/1966;NED;17;;Blankers-Koen Stadion, Hengelo (NED);31/05/1997;1063
11;3612;28:45.23;Kiyokatsu HASEGAWA;02/04/1983;JPN;6f1;;Fugokawa (JPN);10/06/2009;1063
12;3612;28:45.23;Ty MCCORMACK;17/09/1992;USA;3f2;;Palo Alto, CA (USA);04/05/2014;1063
13;3614;28:45.24;Takaya IWASAKI;03/08/1983;JPN;23f1;;Fukagawa (JPN);25/06/2011;1063
14;3614;28:45.24;Hideaki TAMURA;21/07/1988;JPN;9f2;;Tokyo (JPN);24/11/2012;1063
15;3614;28:45.24;Tsukasa KOYAMA;21/01/1992;JPN;12f16;;Tokyo (JPN);23/11/2013;1063
16;3617;28:45.25;Jim DINGWALL;30/05/1949;GBR;4;;Edinburgh (GBR);15/07/1978;1063
17;3618;28:45.27;Ryuji MIYAMOTO;19/09/1973;JPN;8;;Kita-Kyushu (JPN);10/05/1998;1063
18;3618;28:45.27;Shuji YAMAMOTO;17/08/1996;JPN;13;;Nishishina Athletic Stadium, Nobeoka (JPN);17/10/2020;1063
19;3620;28:45.3;Scott JONES;02/01/1961;USA;5f1;;Philadelphia, PA (USA);22/04/1982;1063
20;3621;28:45.32;Mizuho TANAKA;09/11/1991;JPN;3;;Miyoshi (JPN);10/05/2015;1063
21;3622;28:45.33;Yuzo ONISHI;26/12/1977;JPN;7;;Konosu (JPN);03/10/1998;1063
22;3622;28:45.33;Koichi MITSUYUKI;12/12/1981;JPN;21;;Yokohama (JPN);02/12/2007;1063
23;3624;28:45.35;Mirosław ŻERKOWSKI;20/08/1956;POL;1;;Białystok (POL);28/08/1993;1063
24;3624;28:45.35;Kokichi KAWAMOTO;16/06/1974;JPN;5;;Gävle (SWE);30/06/1997;1063
25;3624;28:45.35;Dmitriy SEMYONOV;04/02/1975;RUS;19;;Camaiore (ITA);06/04/2002;1063
26;3624;28:45.35;Takashi TOYODA;29/08/1984;JPN;8;;Kushiro (JPN);03/06/2007;1063
27;3628;28:45.36;Haiyang DENG;15/10/1984;CHN;6;;Nanjing (CHN);17/10/2005;1063
28;3628;28:45.36;Stephen NJENGA;13/10/1977;KEN;6;;Isahaya (JPN);02/12/2006;1063
29;3630;28:45.4;Petar SVET;05/04/1949;SLO;5;;Budapest (HUN);15/09/1976;1063
30;3630;28:45.4;Nelson KIPLAGAT BIRGEN;28/02/1980;KEN;2;;Kakamega (KEN);27/03/2004;1063
31;3630;28:45.4;James KIGEN;;KEN;8;;Nairobi (KEN);06/06/2009;1063
32;3630;28:45.4;Alex CHEROP;15/01/1991;UGA;4;;Kampala (UGA);11/07/2014;1063
