Rank,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,Age,Year_Event,YearGroup,AgeGroup,Time,Time_Sec
2946,Shota MAEDA,30/07/1995,JPN,20f9,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",05/12/2020,1074,25.0,2020,2020+,20-25,28:38:12,1718.12
2947,Józef ZIUBRAK,20/12/1952,POL,6,Sopot (POL),29/07/1984,1074,32.0,1984,1980-1989,31-35,28:38:16,1718.16
2947,Stephen FURST,16/08/1985,USA,18f1,"Palo Alto, CA (USA)",28/04/2013,1074,28.0,2013,2010-2019,26-30,28:38:16,1718.16
2947,John KARIUKI,24/11/1997,KEN,13f1,Abashiri (JPN),11/07/2016,1074,19.0,2016,2010-2019,0-19,28:38:16,1718.16
2950,Koshiro KAWAGUCHI,15/08/1954,JPN,2,Izumo (JPN),20/04/1980,1074,26.0,1980,1980-1989,26-30,28:38:2,1718.2
2950,Dennis SIMONAITIS,25/06/1962,USA,4,"Dedham, MA (USA)",04/06/1988,1074,26.0,1988,1980-1989,26-30,28:38:2,1718.2
2950,Edwin KIPKORIR,03/09/1989,KEN,8,Nairobi (KEN),19/04/2008,1074,19.0,2008,2000-2009,0-19,28:38:2,1718.2
2953,John MASCARI,30/03/1992,USA,13f1,"Palo Alto, CA (USA)",03/04/2015,1074,23.0,2015,2010-2019,20-25,28:38:22,1718.22
2954,Katsutoshi MONOE,30/07/1996,JPN,2f8,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",05/12/2020,1074,24.0,2020,2020+,20-25,28:38:24,1718.24
2955,Hideki KODAMA,21/04/1971,JPN,22,Kobe (JPN),21/04/1996,1074,25.0,1996,1990-1999,20-25,28:38:26,1718.26
2956,Alfred SHEMWETA,19/12/1970,SWE,2,Helsinki (FIN),30/08/1998,1074,28.0,1998,1990-1999,26-30,28:38:29,1718.29
2956,Fuchun CHEN,23/05/1978,CHN,5,Nanjing (CHN),17/10/2005,1074,27.0,2005,2000-2009,26-30,28:38:29,1718.29
2958,Valdur KOHA,04/06/1955,GER,2,Troisdorf (GER),26/04/1980,1074,25.0,1980,1980-1989,20-25,28:38:3,1718.3
2958,Eric CARTER,24/01/1966,USA,3f1,"Philadelphia, PA (USA)",23/04/1987,1074,21.0,1987,1980-1989,20-25,28:38:3,1718.3
2958,Filippo PAITA,01/05/1967,ITA,1,Bologna (ITA),17/09/1992,1074,26.0,1992,1990-1999,26-30,28:38:3,1718.3
2958,Jon HUME,09/11/1967,USA,13,Montréal (CAN),10/07/1995,1074,28.0,1995,1990-1999,26-30,28:38:3,1718.3
2958,David MORRIS,17/05/1970,USA,7,Tokyo (JPN),29/11/1998,1074,29.0,1998,1990-1999,26-30,28:38:3,1718.3
2958,Toshiya TANAKA,21/04/1979,JPN,5,Kure (JPN),27/11/2004,1074,26.0,2004,2000-2009,26-30,28:38:3,1718.3
2958,Moses ALIWA,02/04/1986,UGA,2,Roma (ITA),10/05/2008,1074,23.0,2008,2000-2009,20-25,28:38:3,1718.3
2965,Wataru UENO,02/08/1990,JPN,11f2,Hachioji (JPN),01/12/2013,1074,23.0,2013,2010-2019,20-25,28:38:33,1718.33
2966,Alfred KIPCHUMBA,nan,KEN,1,"Walnut, CA (USA)",14/04/2011,1074,,2011,2010-2019,40+,28:38:34,1718.34
2966,Gavit MURLI KUMAR,08/01/1997,IND,2,Doha (QAT),21/04/2019,1074,22.0,2019,2010-2019,20-25,28:38:34,1718.34
2968,Dillon MAGGARD,16/10/1995,USA,3,"Eugene, OR (USA)",06/06/2018,1073,23.0,2018,2010-2019,20-25,28:38:36,1718.36
2969,Viktor YEROKHIN,01/01/1958,URS,12f1,Kiev (URS),26/07/1982,1073,25.0,1982,1980-1989,20-25,28:38:38,1718.38
2969,Yasushi YAMAMOTO,10/09/1985,JPN,13f2,Fukuroi (JPN),16/10/2010,1073,25.0,2010,2010-2019,20-25,28:38:38,1718.38
2969,Tatsuya SATO,12/04/1991,JPN,6,Yokohama (JPN),12/11/2016,1073,25.0,2016,2010-2019,20-25,28:38:38,1718.38
2972,Sanshiro KASAMA,30/04/1964,JPN,16,Tokyo (JPN),13/05/1988,1073,24.0,1988,1980-1989,20-25,28:38:39,1718.39
2973,Viktor NEDYBALYUK,04/09/1956,URS,5f2,Moskva (URS),18/06/1983,1073,27.0,1983,1980-1989,26-30,28:38:40,1718.4
2974,Piotr GŁADKI,08/02/1972,POL,7,"Stadion Rošický, Praha (CZE)",08/06/1998,1073,26.0,1998,1990-1999,26-30,28:38:41,1718.41
2975,Steffen DITTMANN,26/03/1967,GER,5,Potsdam (GER),05/06/1991,1073,24.0,1991,1990-1999,20-25,28:38:43,1718.43
2976,Grigoriy ANDREYEV,07/01/1976,RUS,2,Zhukovskiy (RUS),26/06/2010,1073,34.0,2010,2010-2019,31-35,28:38:45,1718.45
2977,Fuminori SHIKATA,14/07/1991,JPN,1f5,Yokohama (JPN),02/05/2010,1073,19.0,2010,2010-2019,0-19,28:38:46,1718.46
2978,Mokhtar HIZAOUI,01/01/1964,TUN,6,Harare (ZIM),15/09/1995,1073,32.0,1995,1990-1999,31-35,28:38:4,1718.4
2979,Hiroshi YUGE,21/12/1956,JPN,8,Stockholm (SWE),08/07/1981,1073,25.0,1981,1980-1989,20-25,28:38:49,1718.49
2979,Said ER RMILI,01/01/1963,MAR,5,Formia (ITA),08/07/1991,1073,29.0,1991,1990-1999,26-30,28:38:49,1718.49
2981,Eliud TARUS,03/03/1993,KEN,4,Nairobi (KEN),17/06/2010,1073,17.0,2010,2010-2019,0-19,28:38:5,1718.5
2982,Rod DE HIGHDEN,15/01/1969,AUS,9,Melbourne (AUS),14/12/1995,1073,27.0,1995,1990-1999,26-30,28:38:52,1718.52
2983,Satoshi HARADA,29/06/1981,JPN,8,Yokohama (JPN),26/11/2005,1073,24.0,2005,2000-2009,20-25,28:38:53,1718.53
2983,Thijs NIJHUIS,20/09/1992,DEN,3f2,"Fana Stadion, Bergen (NOR)",01/07/2020,1073,27.0,2020,2020+,26-30,28:38:53,1718.53
2985,Yasuyuki NAKAMURA,22/01/1985,JPN,10f3,Fukuroi (JPN),18/10/2008,1073,24.0,2008,2000-2009,20-25,28:38:54,1718.54
2986,Tsuyoshi NAKANO,12/03/1973,JPN,25f1,Hachioji (JPN),28/11/2000,1073,27.0,2000,2000-2009,26-30,28:38:55,1718.55
2987,Abraham NIYONKURU,26/12/1989,BDI,9,Algiers (ALG),19/07/2007,1073,18.0,2007,2000-2009,0-19,28:38:58,1718.58
2988,Viktor BALASHOV,17/06/1947,URS,8,Moskva (URS),20/06/1974,1073,27.0,1974,1970-1979,26-30,28:38:6,1718.6
2988,Pavel PĚNKAVA,26/12/1944,TCH,2,Praha (TCH),19/07/1975,1073,31.0,1975,1970-1979,31-35,28:38:6,1718.6
2988,Andries KHULU,21/08/1972,RSA,4,Port Elizabeth (RSA),13/02/1998,1073,25.0,1998,1990-1999,20-25,28:38:6,1718.6
2991,Ian LAMERE,nan,USA,1f2,"Palo Alto, CA (USA)",01/04/2016,1073,,2016,2010-2019,40+,28:38:63,1718.63
2991,Cameron MARANTZ,29/08/1987,USA,5,"Portland, OR (USA)",11/06/2016,1073,29.0,2016,2010-2019,26-30,28:38:63,1718.63
2993,Steven TUNSTALL,09/05/1964,GBR,18,Villeneuve d'Ascq (FRA),27/06/1988,1073,24.0,1988,1980-1989,20-25,28:38:64,1718.64
2994,Samuel LIMO,nan,KEN,4,Kitale (KEN),03/08/2019,1073,,2019,2010-2019,40+,28:38:65,1718.65
2995,Peter RILEY,06/07/1979,GBR,8,"Sacramento, CA (USA)",12/06/2003,1073,24.0,2003,2000-2009,20-25,28:38:67,1718.67
2996,Michel BUTTER,05/11/1985,NED,4f1,"Palo Alto, CA (USA)",26/03/2010,1073,25.0,2010,2010-2019,20-25,28:38:70,1718.7
2997,Patrick GILDEA,26/01/1980,USA,4,"Walnut, CA (USA)",15/04/2005,1073,25.0,2005,2000-2009,20-25,28:38:72,1718.72
2998,Aaron NELSON,16/07/1992,USA,9,"Palo Alto, CA (USA)",30/03/2018,1073,26.0,2018,2010-2019,26-30,28:38:74,1718.74
2999,Günther KOHL,23/10/1952,GER,7,Koblenz (GER),27/08/1980,1073,28.0,1980,1980-1989,26-30,28:38:76,1718.76
3000,Godfrey NYOMBI,10/10/1978,UGA,7,Melbourne (AUS),25/11/1996,1073,18.0,1996,1990-1999,0-19,28:38:77,1718.77
3000,Simon MOROLONG,24/06/1973,RSA,3,Port Elizabeth (RSA),14/02/1997,1073,24.0,1997,1990-1999,20-25,28:38:77,1718.77
3002,Koichi FUJITA,28/07/1966,JPN,2,Hiratsuka (JPN),17/10/1992,1073,26.0,1992,1990-1999,26-30,28:38:78,1718.78
3002,Shinji SUZUKI,08/04/1982,JPN,14f2,Fukuroi (JPN),16/10/2010,1073,28.0,2010,2010-2019,26-30,28:38:78,1718.78
3004,Fikru DEGUEFA,08/05/1945,ETH,6,Helsinki (FIN),28/06/1973,1073,28.0,1973,1970-1979,26-30,28:38:8,1718.8
3005,Santiago LLORENTE,09/07/1958,ESP,2,San Sebastián (ESP),29/08/1987,1073,29.0,1987,1980-1989,26-30,28:38:80,1718.8
3006,Kazuma TASHIRO,02/02/1994,JPN,3f16,Tokyo (JPN),23/11/2013,1073,20.0,2013,2010-2019,20-25,28:38:81,1718.81
3007,Stephane LEFRAND,15/06/1983,FRA,1,St-Amand-les-Eaux (FRA),25/06/2011,1073,28.0,2011,2010-2019,26-30,28:38:82,1718.82
3008,Ataru OTANI,29/06/1988,JPN,9f4,Yokohama (JPN),16/11/2013,1073,25.0,2013,2010-2019,20-25,28:38:84,1718.84
3009,Matthew DAVIS,03/05/1975,USA,5,"Palo Alto, CA (USA)",27/03/1999,1073,24.0,1999,1990-1999,20-25,28:38:86,1718.86
3010,Karl Johan RASMUSSEN,10/10/1973,NOR,4,"Walnut, CA (USA)",19/04/2002,1073,29.0,2002,2000-2009,26-30,28:38:89,1718.89
3010,Nico MONTANEZ,07/09/1993,USA,6f1,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",05/12/2020,1073,27.0,2020,2020+,26-30,28:38:89,1718.89
3012,Giuseppe PAMBIANCHI,27/01/1957,ITA,2,Bologna (ITA),30/05/1984,1073,27.0,1984,1980-1989,26-30,28:38:9,1718.9
3013,Adere Tola BELETE,06/12/1983,ETH,2,Tel Aviv (ISR),16/01/2012,1073,29.0,2012,2010-2019,26-30,28:38:92,1718.92
3014,Koji SASAKI,14/07/1979,JPN,13,Yokohama (JPN),26/11/2006,1073,27.0,2006,2000-2009,26-30,28:38:95,1718.95
3015,Stepan KISELYOV,03/11/1986,RUS,3,Cheboksary (RUS),23/07/2009,1073,23.0,2009,2000-2009,20-25,28:38:96,1718.96
3016,Ron HILL,25/09/1939,GBR,3,London (GBR),01/08/1969,1073,29.0,1969,1960-1969,26-30,28:38:98,1718.98
3017,Naoki MAEDA,23/07/1959,JPN,11,Tokyo (JPN),18/06/1989,1073,30.0,1989,1980-1989,26-30,28:38:99,1718.99
3017,Hideyuki ANZAI,18/09/1985,JPN,2f2,Fugokawa (JPN),17/06/2010,1073,25.0,2010,2010-2019,20-25,28:38:99,1718.99
3019,Yuriy POROTOV,09/11/1950,URS,5,Podolsk (URS),13/08/1978,1073,28.0,1978,1970-1979,26-30,28:39:0,1719.0
3020,Pedro ROJAS,01/09/1972,COL,2,Arona (ESP),10/05/1997,1073,26.0,1997,1990-1999,26-30,28:39:00,1719.0
3020,Kennedy KIMEBWA,01/01/1991,KEN,5,Nairobi (KEN),17/06/2010,1073,19.0,2010,2010-2019,0-19,28:39:0,1719.0
3022,Matthew CLARKE,29/04/1995,AUS,9,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",14/12/2019,1072,25.0,2019,2010-2019,20-25,28:39:02,1719.02
3023,Luc KROTWAAR,25/01/1968,NED,1,Zeist (NED),12/04/2002,1072,35.0,2002,2000-2009,31-35,28:39:04,1719.04
3024,Ivan KONOVALOV,06/07/1959,RUS,2,Budapest (HUN),17/05/1992,1072,33.0,1992,1990-1999,31-35,28:39:06,1719.06
3025,Kazutaka ENOKI,07/06/1974,JPN,23,Kobe (JPN),21/04/1996,1072,22.0,1996,1990-1999,20-25,28:39:07,1719.07
3025,Ryuya KAJITANI,15/07/1996,JPN,14f12,Kawasaki (JPN),24/11/2018,1072,22.0,2018,2010-2019,20-25,28:39:07,1719.07
3025,Edwin KOECH,25/03/1992,KEN,6,Nairobi (KEN),22/06/2019,1072,27.0,2019,2010-2019,26-30,28:39:07,1719.07
3028,Shojiro MAEDA,31/12/1969,JPN,1,Toyama (JPN),30/09/1995,1072,26.0,1995,1990-1999,26-30,28:39:08,1719.08
3029,Eberhard WEYEL,30/05/1954,FRG,1,Koblenz (GER),23/04/1981,1072,27.0,1981,1980-1989,26-30,28:39:1,1719.1
3029,Derrick MAY,02/07/1955,RSA,24,"Walnut, CA (USA)",28/04/1984,1072,29.0,1984,1980-1989,26-30,28:39:1,1719.1
3031,Eliseo MARTÍN,05/11/1973,ESP,26,Barakaldo (ESP),10/04/1999,1072,26.0,1999,1990-1999,26-30,28:39:11,1719.11
3032,Adbi Hakin ULAD,14/06/1991,DEN,3f1,Leiden (NED),14/06/2014,1072,23.0,2014,2010-2019,20-25,28:39:14,1719.14
3033,Tomoyuki HONDA,20/01/1983,JPN,9,Kita-Kyushu (JPN),11/05/2003,1072,21.0,2003,2000-2009,20-25,28:39:16,1719.16
3034,Kenichi OZAWA,20/12/1947,JPN,2,Tokyo (JPN),06/10/1973,1072,25.0,1973,1970-1979,20-25,28:39:2,1719.2
3035,Igor BRASLAVSKIY,19/08/1959,URS,8,Kaunas (LTU),12/08/1979,1072,20.0,1979,1970-1979,20-25,28:39:20,1719.2
3035,Gábor K. SZABÓ,19/06/1962,HUN,4,Warszawa (POL),04/07/1981,1072,19.0,1981,1980-1989,0-19,28:39:20,1719.2
3036,Aleksey BELOUSOV,04/01/1960,URS,2,Yesentuki (URS),26/01/1985,1072,25.0,1985,1980-1989,20-25,28:39:2,1719.2
3036,Domenico D'AMBROSIO,18/07/1975,ITA,1,Rubiera (ITA),10/04/1999,1072,24.0,1999,1990-1999,20-25,28:39:2,1719.2
3037,Jim JURCEVICH,25/05/1976,USA,6,"Sacramento, CA (USA)",14/07/2000,1072,24.0,2000,2000-2009,20-25,28:39:20,1719.2
3037,Naoto MORIMOTO,14/05/1983,JPN,1f3,Kure (JPN),21/11/2009,1072,27.0,2009,2000-2009,26-30,28:39:2,1719.2
3041,Mamoru KAWAGOE,07/10/1975,JPN,2,Oita (JPN),14/06/2003,1072,28.0,2003,2000-2009,26-30,28:39:22,1719.22
3042,Alessio FAUSTINI,10/06/1960,ITA,1,Piacenza (ITA),21/05/1983,1072,23.0,1983,1980-1989,20-25,28:39:25,1719.25
3042,Gerardo MORALES FERNÁNDEZ,01/08/1971,MEX,7,"Walnut, CA (USA)",19/04/1997,1072,26.0,1997,1990-1999,26-30,28:39:25,1719.25
3044,Yuki OSHIKAWA,02/06/1990,JPN,8f3,Kitakyushu (JPN),17/05/2014,1072,24.0,2014,2010-2019,20-25,28:39:27,1719.27
3045,Yusuke OSUMI,25/09/1993,JPN,2f3,Hachioji (JPN),26/11/2016,1072,23.0,2016,2010-2019,20-25,28:39:30,1719.3
3046,Takahiro YAGIHARA,04/10/1991,JPN,8f15,Yokohama (JPN),02/12/2017,1072,26.0,2017,2010-2019,26-30,28:39:31,1719.31
3047,Eddy HELLEBUYCK,22/01/1961,BEL,20,Bruxelles (BEL),25/08/1989,1072,29.0,1989,1980-1989,26-30,28:39:32,1719.32
3048,Adam DOBRZYŃSKI,19/12/1974,POL,2,Bydgoszcz (POL),20/06/1997,1072,23.0,1997,1990-1999,20-25,28:39:33,1719.33
3048,Jonathan WILD,30/08/1973,GBR,3,Watford (GBR),09/06/2001,1072,28.0,2001,2000-2009,26-30,28:39:33,1719.33
3050,Christopher ROBISON,16/03/1961,GBR,16,London (GBR),20/06/1986,1072,25.0,1986,1980-1989,20-25,28:39:35,1719.35
3051,Danny GRIMES,30/01/1959,USA,6,"Eugene, OR (USA)",17/03/1984,1072,25.0,1984,1980-1989,20-25,28:39:38,1719.38
3052,David NIGHTINGALE,09/12/1985,USA,14f2,"Palo Alto, CA (USA)",01/05/2011,1072,25.0,2011,2010-2019,20-25,28:39:39,1719.39
3053,Rainer LEYH,17/06/1947,GER,5,Warszawa (POL),01/05/1971,1072,24.0,1971,1970-1979,20-25,28:39:4,1719.4
3053,Gerhard FONTANA,07/11/1947,GER,1,Eschweiler (FRG),02/06/1972,1072,25.0,1972,1970-1979,20-25,28:39:4,1719.4
3053,Tadesse WOLDEMEDHIN,02/10/1936,ETH,1,München (GER),15/08/1972,1072,37.0,1972,1970-1979,36-41,28:39:4,1719.4
3053,Walter MERLO,18/07/1965,ITA,4,Firenze (ITA),07/06/1984,1072,19.0,1984,1980-1989,0-19,28:39:4,1719.4
3053,Simon KORIR,01/01/1959,KEN,2,Nairobi (KEN),02/08/1985,1072,26.0,1985,1980-1989,26-30,28:39:4,1719.4
3053,Robert NDIWA,27/04/1989,KEN,5,Casablanca (MAR),14/06/2009,1072,20.0,2009,2000-2009,20-25,28:39:4,1719.4
3059,Kei FUMIMOTO,29/09/1992,JPN,2f4,Yokohama (JPN),12/04/2014,1072,22.0,2014,2010-2019,20-25,28:39:40,1719.4
3059,Tesfu TEWELDE,21/07/1997,ERI,14,Nijmegen (NED),15/06/2019,1072,22.0,2019,2010-2019,20-25,28:39:40,1719.4
3061,Masafumi YORITA,23/04/1968,JPN,24,Kobe (JPN),21/04/1996,1072,28.0,1996,1990-1999,26-30,28:39:43,1719.43
3062,Abdeslem DJILALI,29/03/1971,ALG,4,Troisdorf (GER),29/08/1998,1072,27.0,1998,1990-1999,26-30,28:39:46,1719.46
3063,George MPOLOKENG,19/02/1979,RSA,6,Durban (RSA),03/03/2001,1072,22.0,2001,2000-2009,20-25,28:39:47,1719.47
3064,Jeroen VAN DAMME,29/09/1972,NED,3,Veenendaal (NED),12/04/2001,1072,29.0,2001,2000-2009,26-30,28:39:48,1719.48
3065,Yasuaki ODA,02/07/1977,JPN,24,Kobe (JPN),21/04/1996,1072,19.0,1996,1990-1999,0-19,28:39:49,1719.49
3066,David WELSH,14/06/1971,USA,18,"Walnut, CA (USA)",21/04/1996,1072,25.0,1996,1990-1999,20-25,28:39:50,1719.5
3067,Godfrey SIAMUSIYE,10/01/1971,ZAM,1,"Philadelphia, PA (USA)",25/04/1996,1072,25.0,1996,1990-1999,20-25,28:39:54,1719.54
3067,Bill KOGEL,16/11/1989,USA,6f1,"Palo Alto, CA (USA)",06/04/2012,1072,23.0,2012,2010-2019,20-25,28:39:54,1719.54
3067,Kento OTSU,07/12/1991,JPN,2f4,Saitama (JPN),28/04/2013,1072,22.0,2013,2010-2019,20-25,28:39:54,1719.54
3070,Shun SATO,05/01/1988,JPN,12f1,Kushiro (JPN),11/07/2009,1072,22.0,2009,2000-2009,20-25,28:39:58,1719.58
3071,Fackson NKANDU,23/12/1971,ZAM,9,Port Coquitlam (CAN),27/05/1995,1072,23.0,1995,1990-1999,20-25,28:39:59,1719.59
3072,Reino PAUKKONEN,29/09/1945,FIN,4,Helsinki (FIN),27/05/1973,1072,28.0,1973,1970-1979,26-30,28:39:6,1719.6
3073,Ernest SELEKE,12/06/1959,RSA,1,Stellenbosch (RSA),20/04/1981,1072,21.0,1981,1980-1989,20-25,28:39:60,1719.6
3073,Chris BREWSTER,17/10/1963,CAN,1,"Philadelphia, PA (USA)",25/04/1985,1072,22.0,1985,1980-1989,20-25,28:39:6,1719.6
3074,Manabu SHIBATA,29/01/1976,JPN,22f1,Hachioji (JPN),01/12/1999,1072,23.0,1999,1990-1999,20-25,28:39:60,1719.6
3074,Ridha EL AMRI,16/12/1976,TUN,2,Marseille (FRA),30/05/2003,1072,26.0,2003,2000-2009,26-30,28:39:60,1719.6
3077,Takahiro IZUMI,30/09/1964,JPN,7,Kanazawa (JPN),30/09/1989,1072,25.0,1989,1980-1989,20-25,28:39:61,1719.61
3078,Ken TANSHO,07/02/2001,JPN,8f4,"Athletics Stadium, Hadano (JPN)",18/10/2020,1072,19.0,2020,2020+,0-19,28:39:63,1719.63
3079,Luis NOVO,29/05/1970,POR,6,Catania (ITA),30/08/1997,1072,27.0,1997,1990-1999,26-30,28:39:64,1719.64
3080,Féthi BACCOUCHE,16/11/1960,TUN,1,Latakia (SYR),19/09/1987,1072,27.0,1987,1980-1989,26-30,28:39:66,1719.66
3081,Olika ADUGNA,12/09/1999,ETH,5,"Ratina Stadium, Tampere (FIN)",10/07/2018,1072,19.0,2018,2010-2019,0-19,28:39:67,1719.67
3082,Nathaniel MUIR,12/03/1958,GBR,10,Cwmbran (GBR),25/05/1986,1071,27.0,1986,1980-1989,26-30,28:39:69,1719.69
3083,Francesco INGARGIOLA,15/02/1973,ITA,1,Roma (ITA),19/04/1997,1071,24.0,1997,1990-1999,20-25,28:39:7,1719.7
3083,Daniel KIRUI,29/12/1977,KEN,1,Nairobi (KEN),26/05/2000,1071,22.0,2000,2000-2009,20-25,28:39:7,1719.7
3083,Peter MWANIKI,01/01/1994,KEN,3,"Nyayo National Stadium, Nairobi (KEN)",27/02/2021,1071,27.0,2021,2020+,26-30,28:39:7,1719.7
3086,Aleksey DESYATCHIKOV,31/10/1932,URS,4,"Stadio Olimpico, Roma (ITA)",08/09/1960,1071,28.0,1960,1960-1969,26-30,28:39:71,1719.71
3086,Ahmed TAMRI,08/02/1985,MAR,2,Rabat (MAR),22/06/2014,1071,29.0,2014,2010-2019,26-30,28:39:71,1719.71
3088,Dominic MARU,nan,KEN,8,Nairobi (KEN),14/06/2012,1071,,2012,2010-2019,40+,28:39:72,1719.72
3088,Daniel TAPIA,21/04/1987,USA,6,"Portland, OR (USA)",11/06/2016,1071,30.0,2016,2010-2019,26-30,28:39:72,1719.72
3090,Steve SCHELL,09/08/1976,USA,6,"Palo Alto, CA (USA)",27/03/1999,1071,23.0,1999,1990-1999,20-25,28:39:74,1719.74
3091,Reinhard LEIBOLD,21/05/1947,FRG,8,Koblenz (GER),27/08/1980,1071,33.0,1980,1980-1989,31-35,28:39:75,1719.75
3092,Yoshiyuki OZEKI,14/08/1983,JPN,16f11,Yokohama (JPN),04/12/2010,1071,27.0,2010,2010-2019,26-30,28:39:78,1719.78
3093,David NGETICH,19/05/1980,KEN,6,"SIAC Homebush, Sydney (AUS)",21/08/1996,1071,16.0,1996,1990-1999,0-19,28:39:79,1719.79
3094,Bob HOLT,18/05/1944,GBR,1,London (GBR),20/09/1972,1071,28.0,1972,1970-1979,26-30,28:39:8,1719.8
3094,Ken-ichi OTSUKI,15/04/1945,JPN,3,Tokyo (JPN),06/10/1973,1071,28.0,1973,1970-1979,26-30,28:39:8,1719.8
3094,Nagatoshi IMAKUGI,14/09/1957,JPN,2,Odawara (JPN),18/05/1980,1071,23.0,1980,1980-1989,20-25,28:39:8,1719.8
3094,George BUCKHEIT,26/06/1957,USA,2,"Williamsburg, VA (USA)",02/04/1983,1071,26.0,1983,1980-1989,26-30,28:39:8,1719.8
3098,Didier BERNARD,26/02/1958,FRA,1,Tours (FRA),12/08/1989,1071,32.0,1989,1980-1989,31-35,28:39:81,1719.81
3099,Miguel Ángel GAMONAL,26/06/1981,ESP,4,Avilés (ESP),18/07/2009,1071,28.0,2009,2000-2009,26-30,28:39:82,1719.82
3100,Masayoshi YAMAOKA,10/06/1981,JPN,15,Yokohama (JPN),26/11/2006,1071,25.0,2006,2000-2009,20-25,28:39:83,1719.83
3100,Abdelkarim EZZOUHTI,nan,MAR,3,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",21/02/2021,1071,,2021,2020+,40+,28:39:83,1719.83
3102,Tadayoshi KAMETAKA,03/03/1962,JPN,1,Hiratsuka (JPN),22/10/1988,1071,27.0,1988,1980-1989,26-30,28:39:87,1719.87
3103,Juan José ROSARIO,13/01/1962,ESP,3,Lisboa (POR),31/07/1988,1071,27.0,1988,1980-1989,26-30,28:39:9,1719.9
3104,Sérgio GONCALVES DA SILVA,29/11/1967,BRA,2,Rio de Janeiro (BRA),21/05/1995,1071,27.0,1995,1990-1999,26-30,28:39:90,1719.9
3104,John KIPROTICH,30/03/1989,KEN,7,Nairobi (KEN),04/07/1998,1071,9.0,1998,1990-1999,0-19,28:39:9,1719.9
3105,Yimer GETAHUN,28/06/1992,ISR,5,"Hadar Yosef Stadium, Tel Aviv (ISR)",22/04/2021,1071,29.0,2021,2020+,26-30,28:39:90,1719.9
3107,Ryan MAHALSKY,27/04/1993,USA,5,"Portland, OR (USA)",10/06/2017,1071,24.0,2017,2010-2019,20-25,28:39:94,1719.94
3108,Krystian ZALEWSKI,11/04/1989,POL,1f2,Bialogard (POL),28/04/2019,1071,29.0,2019,2010-2019,26-30,28:39:95,1719.95
3108,Eikichi KAZAOKA,06/11/1995,JPN,1f4,"Hosei University Stadium, Machida (JPN)",23/11/2019,1071,24.0,2019,2010-2019,20-25,28:39:95,1719.95
3110,Khalid ZOUBAA,27/04/1977,FRA,12,Wageningen (NED),30/05/2012,1071,35.0,2012,2010-2019,31-35,28:39:97,1719.97
3111,Anatoliy SKRIPNIK,14/10/1937,URS,3,Moskva (URS),06/08/1969,1071,32.0,1969,1960-1969,31-35,28:40:0,1720.0
3111,Simon KILILI,01/01/1950,KEN,3,Mombasa (KEN),21/05/1976,1071,26.0,1976,1970-1979,26-30,28:40:0,1720.0
3111,Chris GARFORTH,15/11/1950,GBR,6,Cwmbran (GBR),11/06/1977,1071,27.0,1977,1970-1979,26-30,28:40:0,1720.0
3111,Jeff SCUFFINS,16/06/1962,USA,5f2,"Philadelphia, PA (USA)",23/04/1987,1071,25.0,1987,1980-1989,20-25,28:40:0,1720.0
3111,Lukas KIBET,19/06/1973,KEN,1,Nairobi (KEN),04/06/2004,1071,31.0,2004,2000-2009,31-35,28:40:0,1720.0
3111,Michael Kiprop TIONY,27/08/1985,KEN,1,Nairobi (KEN),11/05/2012,1071,27.0,2012,2010-2019,26-30,28:40:0,1720.0
3117,Grzegorz GAJDUS,16/01/1967,POL,5,St-Maur (FRA),10/06/1992,1071,26.0,1992,1990-1999,26-30,28:40:01,1720.01
3117,Yuki TAKEI,01/12/1999,JPN,3f8,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",05/12/2020,1071,21.0,2020,2020+,20-25,28:40:01,1720.01
3119,Mohammed TAHIRI,nan,MAR,3,Rabat (MAR),11/07/2011,1071,,2011,2010-2019,40+,28:40:02,1720.02
3120,John MCLAUGHLIN,06/09/1951,GBR,8,Edinburgh (GBR),29/05/1983,1071,32.0,1983,1980-1989,31-35,28:40:03,1720.03
3121,José Ramón MORENO,14/02/1965,ESP,9,Valencia (ESP),27/06/1992,1071,27.0,1992,1990-1999,26-30,28:40:04,1720.04
3121,Rachid KISRI,01/03/1975,MAR,1,"Campo Scuola, Ferrara (ITA)",01/05/2011,1071,36.0,2011,2010-2019,36-41,28:40:04,1720.04
3123,Antonio LAYOS,28/10/1956,ESP,2,Vigo (ESP),14/08/1982,1071,26.0,1982,1980-1989,26-30,28:40:06,1720.06
3124,Hisashi YOTSUJI,24/12/1982,JPN,18,Kobe (JPN),20/04/2003,1071,20.0,2003,2000-2009,20-25,28:40:07,1720.07
3125,Iván GALÁN,05/09/1979,ESP,11,Pontevedra (ESP),20/07/2003,1071,24.0,2003,2000-2009,20-25,28:40:09,1720.09
3126,Ghislain FOURRIER,27/06/1954,BEL,2,Kessel-Lo (BEL),15/06/1984,1071,30.0,1984,1980-1989,26-30,28:40:1,1720.1
